   0         0         0       
  -0.22     -0.002    -0.038 
  -0.21      0.0061   -0.0036  
  -0.18      0.00094   0.0036  
  -0.16     -0.0059    0.0098  
  -0.13     -0.017     0.013   
  -0.1      -0.017     0.0091  
  -0.069    -0.011     0.0067  
  -0.034    -0.00037  -0.0011  
   0.00044   0.021    -0.014   
   0.028     0.046    -0.073   
  -0.23     -0.016    -0.0037  
  -0.21     -0.013     0.002   
  -0.19     -0.014     0.021   
  -0.17     -0.017     0.028   
  -0.14     -0.021     0.034   
  -0.11     -0.02      0.034   
  -0.076    -0.0094    0.03    
  -0.05      0.0092    0.012   
  -0.022     0.027     0.00078 
   0.0042    0.049    -0.013   
  -0.21     -0.036     0.0018  
  -0.2      -0.027     0.021   
  -0.18     -0.034     0.0087  
  -0.17     -0.019     0.003   
  -0.14     -0.016     0.0076  
  -0.11     -0.0055    0.017   
  -0.091     0.007     0.022   
  -0.068     0.02      0.022   
  -0.046     0.039     0.0081  
  -0.024     0.057     0.0013  
  -0.18     -0.045     0.0026  
  -0.18     -0.039     0.026   
  -0.17     -0.023     0.019   
  -0.15     -0.023     0.0013  
  -0.14      0.0024    0.0018  
  -0.13      0.014     0.022   
  -0.11      0.021     0.038   
  -0.083     0.036     0.036   
  -0.064     0.052     0.026   
  -0.045     0.067     0.018   
  -0.15     -0.05      0.0036  
  -0.15     -0.046     0.028   
  -0.15     -0.026     0.031   
  -0.13     -0.035     0.012   
  -0.12     -0.015     0.0026  
  -0.11      0.0031    0.016   
  -0.097     0.025     0.022   
  -0.097     0.051     0.025   
  -0.081     0.069     0.024   
  -0.063     0.085     0.018   
  -0.12     -0.051     0.0067  
  -0.13     -0.046     0.03    
  -0.13     -0.027     0.041   
  -0.11     -0.037     0.022   
  -0.1      -0.029     0.0025  
  -0.094    -0.004     0.0019  
  -0.095     0.024     0.00041 
  -0.095     0.051     0.0016  
  -0.089     0.076     0.0024  
  -0.079     0.098     0.003   
  -0.096    -0.051     0.013   
  -0.1      -0.042     0.034   
  -0.1      -0.024     0.049   
  -0.091    -0.033     0.031   
  -0.079    -0.039     0.011   
  -0.073    -0.013     0.00057 
  -0.072     0.018    -0.00019 
  -0.071     0.046     0.0015  
  -0.065     0.07      0.0024  
  -0.056     0.092     0.0023  
  -0.07     -0.051     0.021   
  -0.076    -0.036     0.039   
  -0.08     -0.019     0.055   
  -0.069    -0.023     0.036   
  -0.055    -0.037     0.026   
  -0.058    -0.015     0.019   
  -0.055     0.013     0.016   
  -0.051     0.042     0.014   
  -0.043     0.069     0.014   
  -0.031     0.085     0.0023  
  -0.044    -0.047     0.025   
  -0.05     -0.031     0.044   
  -0.055    -0.014     0.06    
  -0.049    -0.01      0.039   
  -0.031    -0.024     0.035   
  -0.032    -0.011     0.026   
  -0.041     0.01      0.037   
  -0.042     0.039     0.037   
  -0.024     0.057     0.03    
  -0.012     0.067     0.0082  
  -0.018    -0.043     0.03    
  -0.025    -0.024     0.046   
  -0.03     -0.0053    0.06    
  -0.025    -0.012     0.041   
  -0.017     0.0023    0.031   
  -0.014     5.9e-05   0.0083  
  -0.015     0.013     0.028   
  -0.026     0.033     0.031   
  -0.0081    0.034     0.023   
  -0.016     0.041     0.0032  
   0.0073   -0.038     0.036   
  -0.00092  -0.016     0.045   
  -0.0075    0.0074    0.051   
  -0.0097    0.0081    0.033   
   0.0062   -0.0052    0.023   
  -0.0065   -0.024     0.021   
  -0.031    -0.011     0.02    
  -0.045     0.0095    0.02    
  -0.02      0.0067    0.014   
  -0.036     0.021     0.012   
   0.032    -0.029     0.039   
   0.021    -0.0061    0.039   
   0.0073    0.013     0.029   
  -0.0089    0.02      0.012   
  -0.0092   -0.0024    0.0029  
  -0.017    -0.027     0.006   
  -0.038    -0.032     0.012   
  -0.058    -0.018     0.012   
  -0.035    -0.021     0.0067  
  -0.051    -0.0052    0.0091  
   0.053    -0.017     0.028   
   0.034    -0.004     0.017   
   0.012     0.00044   0.008   
  -0.0075   -0.00082  -0.0026  
  -0.029    -0.014    -1.2e-05 
  -0.035    -0.036     0.0056  
  -0.045    -0.053     0.017   
  -0.068    -0.047     0.014   
  -0.05     -0.05      0.0027  
  -0.067    -0.033     0.0029  
   0.048    -0.034     0.011   
   0.025    -0.026     0.014   
   0.0024   -0.022     0.018   
  -0.012    -0.028     0.0014  
  -0.031    -0.038     3.4e-05 
  -0.045    -0.055     0.002   
  -0.053    -0.074     0.013   
  -0.074    -0.076     0.02    
  -0.064    -0.079     0.0017  
  -0.083    -0.063     0.0026  
   0.026    -0.024     0.0078  
   0.014    -0.045     0.0092  
  -0.0042   -0.045     0.024   
  -0.023    -0.049     0.012   
  -0.035    -0.063     0.0018  
  -0.05     -0.079     0.002   
  -0.061    -0.096     0.0072  
  -0.076    -0.11      0.021   
  -0.079    -0.11      0.0016  
  -0.097    -0.094     0.0025  
   0.0056   -0.013     0.0016  
  -0.0074   -0.035     0.0029  
  -0.019    -0.055     0.0089  
  -0.028    -0.073     0.019   
  -0.04     -0.086     0.0054  
  -0.053    -0.1       0.0022  
  -0.067    -0.12      0.0026  
  -0.077    -0.13      0.015   
  -0.091    -0.14      0.0024  
  -0.11     -0.13      0.0024  
   0.025    -0.026     0.002   
   0.011    -0.048     0.0021  
  -0.0049   -0.07      0.0023  
  -0.022    -0.091     0.0041  
  -0.039    -0.11      0.0071  
  -0.056    -0.13      0.003   
  -0.07     -0.14      0.002   
  -0.082    -0.16      0.006   
  -0.098    -0.17      0.0026  
  -0.12     -0.16      0.002   
   0.048    -0.032     0.0012  
   0.033    -0.058     0.0029  
   0.015    -0.083     0.0027  
  -0.0052   -0.11      0.0025  
  -0.027    -0.13      0.0026  
  -0.049    -0.15      0.0029  
  -0.07     -0.17      0.0022  
  -0.088    -0.19     -6.7e-05 
  -0.1      -0.2      -0.0024  
  -0.12     -0.2      -0.0025  
   0.07     -0.032    -0.019   
   0.058    -0.061     0.00013 
   0.038    -0.09      0.0026  
   0.016    -0.12      0.0027  
  -0.0083   -0.14      0.0026  
  -0.034    -0.16      0.0025  
  -0.061    -0.19      0.002   
  -0.088    -0.21     -0.0028  
  -0.11     -0.23     -0.023   
  -0.13     -0.24     -0.029   
   0.083    -0.028    -0.093   
   0.075    -0.059    -0.019   
   0.061    -0.093    -0.00088 
   0.039    -0.12      0.0022  
   0.014    -0.15      0.0025  
  -0.014    -0.18      0.0025  
  -0.043    -0.2       0.002   
  -0.073    -0.22     -0.0026  
  -0.1      -0.25     -0.029   
  -0.13     -0.27     -0.13
